dataset,configuration,ground_truth,wavelength,image_path,PSNR,SSIM,MSSSIM,IWSSIM,VIF,FSIM,GMSD,MSGMSD,HAARPSI,UQI,S3IM,TV,BRISQUE,CLIP-IQA
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image188_0.png,15.799213,0.736223,0.77614063,0.67563814,0.2684289,,0.18353146,0.19493361,0.27709192,,,11.468113,62.667664,0.2749293
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image189_0.png,22.890146,0.96611285,0.9083052,0.7854241,0.44527012,,0.052118544,0.059320245,0.45426375,,,3.2468789,95.23749,0.36313018
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image19_0.png,22.20856,0.6262645,0.86479783,0.6817229,0.16718562,,0.1016609,0.10711955,0.35535926,,,5.213942,82.945496,0.3028391
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image190_0.png,22.773726,0.9675315,0.90472335,0.7800769,0.45739883,,0.050269857,0.058410563,0.45772326,,,3.1543653,95.22919,0.33184654
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image191_0.png,22.701189,0.9698737,0.90158,0.7763586,0.44730914,,0.04971576,0.05802796,0.4616368,,,3.09094,96.99628,0.31575084
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image192_0.png,22.527391,0.9672471,0.89612937,0.7638235,0.4545372,,0.049210336,0.058264486,0.4536134,,,2.96964,98.204285,0.29864216
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image193_0.png,22.374577,0.9641394,0.88949347,0.7570223,0.44833648,,0.04867005,0.058552846,0.4546348,,,2.8206496,96.26434,0.2922999
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image194_0.png,22.414644,0.9682905,0.89047545,0.75830007,0.44423008,,0.0489402,0.05846159,0.45320258,,,2.8718202,98.04022,0.31422746
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image195_0.png,22.435722,0.96662414,0.8911578,0.7589746,0.43359983,,0.049284466,0.058563966,0.45281088,,,2.897941,97.0329,0.2839842
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image196_0.png,22.446144,0.9668241,0.89168876,0.7531252,0.42933676,,0.048732493,0.058141977,0.44667602,,,2.9148707,98.59296,0.29723364
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image197_0.png,22.379198,0.961407,0.88745767,0.74882466,0.3901833,,0.048682656,0.05818068,0.44670007,,,2.9011633,97.47284,0.26197466
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image198_0.png,22.457283,0.9612216,0.8918783,0.75033474,0.40445936,,0.048457842,0.05773777,0.44522658,,,2.9413335,97.38739,0.2964726
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image199_0.png,22.523783,0.961615,0.8940159,0.753295,0.39992195,,0.048490826,0.05751148,0.44572338,,,3.0008023,98.31317,0.30399325
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image2_0.png,21.62961,0.81800807,0.8890358,0.6763819,0.248476,,0.13689615,0.14018312,0.32594112,,,5.451828,77.513855,0.15748996
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image20_0.png,21.211014,0.80030763,0.886293,0.68237334,0.2421213,,0.09867616,0.101542294,0.35283038,,,4.4894323,80.58026,0.3201449
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image200_0.png,22.623484,0.96228445,0.8974103,0.7618715,0.4020258,,0.048264656,0.05695161,0.45185935,,,3.0504057,95.96112,0.2740684
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image201_0.png,22.484892,0.95805013,0.8893098,0.7492673,0.35493055,,0.048918165,0.057694275,0.4437438,,,3.0113614,97.184265,0.28204477
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image202_0.png,22.377182,0.95143807,0.885095,0.73690826,0.35834065,,0.048944384,0.058017995,0.435841,,,2.9558797,98.90448,0.24874835
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image203_0.png,22.2377,0.9235353,0.8750894,0.71832657,0.2947997,,0.04906711,0.058630448,0.42628196,,,2.9426873,97.12714,0.23732588
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image204_0.png,22.318716,0.92227536,0.8747405,0.7131741,0.31921434,,0.04838527,0.057676323,0.42919996,,,3.0424855,101.530945,0.20061365
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image205_0.png,22.336218,0.8564112,0.86504394,0.7044766,0.27135462,,0.0482888,0.057363693,0.42764434,,,3.1044562,101.57977,0.23355779
zenodo,method_0,reference,---,data/zenodo/normalised_images/algorithms/image206_0.png,22.474726,0.87391776,0.8719751,0.70164686,0.26676762,,0.04750814,0.056345075,0.42415234,,,3.1760569,102.871765,0.2932934
