dataset,configuration,ground_truth,wavelength,image_path,PSNR,SSIM,MSSSIM,IWSSIM,VIF,FSIM,GMSD,MSGMSD,HAARPSI,UQI,S3IM,TV,BRISQUE,CLIP-IQA
mice,sparse256_recon_all,full_recon_all,---,results/mice/images_used/sparse256_recon_all_slice_237.png,41.9032,0.9604286,0.98257744,0.9760947,0.6781539,,0.03871408,0.036168005,0.89157677,,,6.8391128,29.510925,0.3105735
mice,sparse256_recon_all,full_recon_all,---,results/mice/images_used/sparse256_recon_all_slice_238.png,41.966343,0.9618914,0.9829577,0.9732167,0.63218457,,0.041008487,0.037840992,0.90617275,,,7.1168385,20.003113,0.4808439
mice,sparse256_recon_all,full_recon_all,---,results/mice/images_used/sparse256_recon_all_slice_239.png,41.342026,0.95471096,0.9796202,0.97152287,0.62976694,,0.04512887,0.040250238,0.87749773,,,7.2170873,27.843445,0.49854803
mice,sparse256_recon_all,full_recon_all,---,results/mice/images_used/sparse256_recon_all_slice_240.png,32.422977,0.80702424,0.90429187,0.89619166,0.35192057,,0.11494408,0.10281048,0.6662046,,,19.706184,37.81659,0.36283645
mice,sparse256_recon_all,full_recon_all,---,results/mice/images_used/sparse256_recon_all_slice_241.png,34.709274,0.85061735,0.9272203,0.91464674,0.4078199,,0.09339764,0.08276101,0.7208763,,,14.548586,41.3869,0.2641077
mice,sparse256_recon_all,full_recon_all,---,results/mice/images_used/sparse256_recon_all_slice_242.png,35.56505,0.86237353,0.9323705,0.91668767,0.4037165,,0.08502053,0.07489536,0.73594284,,,12.836452,37.981873,0.48627385
mice,sparse256_recon_all,full_recon_all,---,results/mice/images_used/sparse256_recon_all_slice_243.png,35.557205,0.86581874,0.93484795,0.9211203,0.4106875,,0.08683971,0.0763689,0.7426318,,,13.058577,37.588806,0.3780446
mice,sparse256_recon_all,full_recon_all,---,results/mice/images_used/sparse256_recon_all_slice_244.png,31.676405,0.79550743,0.89666975,0.8870685,0.3529214,,0.12443549,0.11094168,0.6519309,,,21.230745,39.124207,0.3040542
mice,sparse256_recon_all,full_recon_all,---,results/mice/images_used/sparse256_recon_all_slice_245.png,32.74884,0.8175372,0.9095101,0.8989844,0.36736274,,0.11083256,0.09882337,0.6767407,,,18.550709,36.826843,0.309877
mice,sparse256_recon_all,full_recon_all,---,results/mice/images_used/sparse256_recon_all_slice_246.png,31.539238,0.79110885,0.89549154,0.886509,0.36390412,,0.13109805,0.11646544,0.64771664,,,21.716087,34.203796,0.3304459
mice,sparse256_recon_all,full_recon_all,---,results/mice/images_used/sparse256_recon_all_slice_247.png,29.609058,0.7518852,0.8723685,0.8712019,0.3316923,,0.15104082,0.13572226,0.6054357,,,26.62503,38.288513,0.3524612
mice,sparse256_recon_all,full_recon_all,---,results/mice/images_used/sparse256_recon_all_slice_248.png,31.893196,0.79955167,0.90033823,0.89337456,0.35540396,,0.12174525,0.108954415,0.65139174,,,20.432941,38.61371,0.31063536
mice,sparse256_recon_all,full_recon_all,---,results/mice/images_used/sparse256_recon_all_slice_249.png,35.071217,0.8640397,0.93482715,0.9240854,0.41284356,,0.086120866,0.07667174,0.7354545,,,14.489067,34.857605,0.4234615
mice,sparse256_recon_all,full_recon_all,---,results/mice/images_used/sparse256_recon_all_slice_250.png,34.652508,0.85908896,0.9320726,0.9217173,0.41028443,,0.09032724,0.08055376,0.72398424,,,15.394111,36.5307,0.3512665
mice,sparse256_recon_all,full_recon_all,---,results/mice/images_used/sparse256_recon_all_slice_251.png,32.384384,0.81054,0.90610874,0.898404,0.3511446,,0.11299957,0.10131779,0.66110075,,,19.493345,37.75116,0.30913797
mice,sparse256_recon_all,full_recon_all,---,results/mice/images_used/sparse256_recon_all_slice_252.png,30.18295,0.7618249,0.87840205,0.8738429,0.32039663,,0.1389051,0.1251437,0.603678,,,24.922049,38.17743,0.27723235
mice,sparse256_recon_all,full_recon_all,---,results/mice/images_used/sparse256_recon_all_slice_253.png,33.128174,0.82144386,0.91223735,0.90205306,0.36388382,,0.10643299,0.095295146,0.6714495,,,17.659904,38.60077,0.25202972
mice,sparse256_recon_all,full_recon_all,---,results/mice/images_used/sparse256_recon_all_slice_254.png,34.130417,0.84530336,0.9249679,0.9152557,0.3863397,,0.095941536,0.0855671,0.6994818,,,15.988136,37.530212,0.24536125
mice,sparse256_recon_all,full_recon_all,---,results/mice/images_used/sparse256_recon_all_slice_255.png,33.588966,0.83410966,0.91884345,0.9073299,0.38976973,,0.10055919,0.090062365,0.6824502,,,16.958302,38.50409,0.22616883
mice,sparse256_recon_all,full_recon_all,---,results/mice/images_used/sparse256_recon_all_slice_256.png,34.19699,0.8476681,0.92556024,0.9133045,0.41514128,,0.097535916,0.086958826,0.69674844,,,15.916239,37.029602,0.23235147
mice,sparse256_recon_all,full_recon_all,---,results/mice/images_used/sparse256_recon_all_slice_257.png,32.130836,0.80876464,0.9039993,0.8935879,0.34324247,,0.114727125,0.102718785,0.6540742,,,20.41156,36.394592,0.31273228
mice,sparse256_recon_all,full_recon_all,---,results/mice/images_used/sparse256_recon_all_slice_258.png,35.921814,0.8836582,0.9443068,0.9326972,0.43782496,,0.074756294,0.06658278,0.7597262,,,13.877803,38.165466,0.44632643
mice,sparse256_recon_all,full_recon_all,---,results/mice/images_used/sparse256_recon_all_slice_259.png,33.225815,0.8328807,0.9185087,0.90692663,0.38349375,,0.1035365,0.09223705,0.6863452,,,18.264206,38.165955,0.29378423
mice,sparse256_recon_all,full_recon_all,---,results/mice/images_used/sparse256_recon_all_slice_260.png,33.38171,0.8348034,0.9190018,0.90762985,0.36669922,,0.098770685,0.08816979,0.69373757,,,17.651474,38.204773,0.28471506
mice,sparse256_recon_all,full_recon_all,---,results/mice/images_used/sparse256_recon_all_slice_261.png,33.216682,0.8261212,0.91477823,0.9044568,0.37277806,,0.10476499,0.093751706,0.6820245,,,17.902586,36.554626,0.30573213
mice,sparse256_recon_all,full_recon_all,---,results/mice/images_used/sparse256_recon_all_slice_262.png,32.02169,0.80538315,0.9042432,0.89673597,0.35775283,,0.1220383,0.10876428,0.6502966,,,20.924883,35.71576,0.27035415
mice,sparse256_recon_all,full_recon_all,---,results/mice/images_used/sparse256_recon_all_slice_263.png,30.173866,0.7494409,0.8721984,0.8642057,0.30951318,,0.14629538,0.13052985,0.5907891,,,25.16529,36.06122,0.3694126
mice,sparse256_recon_all,full_recon_all,---,results/mice/images_used/sparse256_recon_all_slice_264.png,32.23164,0.79935926,0.9006182,0.88863575,0.3357964,,0.12049364,0.107064426,0.649271,,,19.52102,36.059875,0.3010236
mice,sparse256_recon_all,full_recon_all,---,results/mice/images_used/sparse256_recon_all_slice_265.png,33.17513,0.8195793,0.9124734,0.9015151,0.36992496,,0.1113319,0.098846786,0.6743409,,,17.831453,36.24054,0.2893372
mice,sparse256_recon_all,full_recon_all,---,results/mice/images_used/sparse256_recon_all_slice_266.png,32.942993,0.8235203,0.91434604,0.90592533,0.37458652,,0.10934523,0.09736526,0.67852765,,,19.589478,28.71222,0.28137764
mice,sparse256_recon_all,full_recon_all,---,results/mice/images_used/sparse256_recon_all_slice_267.png,34.214123,0.85195094,0.92969054,0.92213666,0.4159596,,0.09233635,0.083070844,0.71497065,,,16.85931,37.100647,0.3207542
mice,sparse256_recon_all,full_recon_all,---,results/mice/images_used/sparse256_recon_all_slice_268.png,33.364456,0.8313702,0.91850835,0.90979743,0.39745405,,0.11045042,0.09830458,0.6859142,,,18.29684,36.62274,0.28112665
mice,sparse256_recon_all,full_recon_all,---,results/mice/images_used/sparse256_recon_all_slice_269.png,34.327084,0.85031444,0.92774904,0.9174871,0.38086754,,0.09162315,0.08179128,0.7141299,,,16.130346,31.681091,0.3779269
mice,sparse256_recon_all,full_recon_all,---,results/mice/images_used/sparse256_recon_all_slice_270.png,32.0769,0.7948123,0.8976122,0.8903776,0.36145926,,0.12575851,0.11165837,0.652107,,,20.225302,34.44867,0.303583
